SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  30
DISK1_MAX :  50
DISK2_MIN :  30
DISK2_MAX :  50
1065  Job 36   finishes at Disk 1
1065  Job 43   finishes at CPU
1074  Job 74   arrives
1079  Job 9    finishes at CPU
1079  Job 9    finishes
1093  Job 7    finishes at Disk 2
1093  Job 75   arrives
1096  Job 44   finishes at CPU
1109  Job 4    finishes at CPU
1112  Job 76   arrives
1114  Job 16   finishes at Disk 1
1123  Job 77   arrives
1127  Job 45   finishes at CPU
1132  Job 37   finishes at Disk 2
1141  Job 78   arrives
1146  Job 46   finishes at CPU
1151  Job 38   finishes at Disk 1
1151  Job 79   arrives
1157  Job 22   finishes at CPU
1164  Job 39   finishes at Disk 2
1168  Job 80   arrives
1176  Job 23   finishes at CPU
1181  Job 17   finishes at Disk 1
1184  Job 81   arrives
1192  Job 47   finishes at CPU
1192  Job 47   finishes
1198  Job 82   arrives
1199  Job 1    finishes at Disk 2
1210  Job 48   finishes at CPU
1210  Job 83   arrives
1222  Job 84   arrives
1226  Job 49   finishes at CPU
1228  Job 40   finishes at Disk 1
1235  Job 41   finishes at Disk 2
1237  Job 11   finishes at CPU
1241  Job 85   arrives
1253  Job 24   finishes at CPU
1253  Job 24   finishes
1255  Job 86   arrives
1263  Job 50   finishes at CPU
1263  Job 50   finishes
1267  Job 87   arrives
1269  Job 43   finishes at Disk 1
1282  Job 44   finishes at Disk 2
1282  Job 51   finishes at CPU
1286  Job 88   arrives
1296  Job 89   arrives
1298  Job 27   finishes at CPU
1298  Job 27   finishes
1300  Job 4    finishes at Disk 1
1308  Job 26   finishes at CPU
1308  Job 26   finishes
1312  Job 90   arrives
1325  Job 45   finishes at Disk 2
1327  Job 52   finishes at CPU
1329  Job 91   arrives
1340  Job 53   finishes at CPU
1346  Job 92   arrives
1347  Job 22   finishes at Disk 1
1357  Job 54   finishes at CPU
1358  Job 46   finishes at Disk 2
1360  Job 93   arrives
1374  Job 94   arrives
1375  Job 12   finishes at CPU
1377  Job 48   finishes at Disk 1
1391  Job 95   arrives
1394  Job 55   finishes at CPU
1396  Job 23   finishes at Disk 2
1410  Job 96   arrives
1411  Job 28   finishes at CPU
1422  Job 97   arrives
1426  Job 11   finishes at Disk 1
1428  Job 49   finishes at Disk 2
1428  Job 56   finishes at CPU
1437  Job 98   arrives
1439  Job 57   finishes at CPU
1454  Job 99   arrives
1454  Job 29   finishes at CPU
1454  Job 29   finishes
1465  Job 52   finishes at Disk 2
1465  Job 100  arrives
1466  Job 58   finishes at CPU
1470  Job 51   finishes at Disk 1
1477  Job 3    finishes at CPU
1477  Job 3    finishes
1481  Job 101  arrives
1496  Job 59   finishes at CPU
1498  Job 102  arrives
1502  Job 54   finishes at Disk 1
1509  Job 60   finishes at CPU
1514  Job 53   finishes at Disk 2
1515  Job 103  arrives
1525  Job 104  arrives
1526  Job 61   finishes at CPU
1536  Job 12   finishes at Disk 1
1540  Job 105  arrives
1541  Job 30   finishes at CPU
1541  Job 30   finishes
1555  Job 106  arrives
1560  Job 28   finishes at Disk 2
1560  Job 31   finishes at CPU
1572  Job 62   finishes at CPU
1572  Job 62   finishes
1573  Job 107  arrives
1577  Job 55   finishes at Disk 1
1582  Job 63   finishes at CPU
1586  Job 108  arrives
1595  Job 56   finishes at Disk 2
1595  Job 32   finishes at CPU
1600  Job 109  arrives
1610  Job 13   finishes at CPU
1610  Job 13   finishes
1618  Job 110  arrives
1620  Job 58   finishes at Disk 1
1622  Job 64   finishes at CPU
1632  Job 111  arrives
1635  Job 65   finishes at CPU
1644  Job 57   finishes at Disk 2
1645  Job 112  arrives
1645  Job 66   finishes at CPU
1655  Job 33   finishes at CPU
1655  Job 33   finishes
1661  Job 113  arrives
1665  Job 60   finishes at Disk 1
1666  Job 15   finishes at CPU
1672  Job 114  arrives
1681  Job 67   finishes at CPU
1681  Job 67   finishes
1682  Job 115  arrives
1691  Job 59   finishes at Disk 2
1696  Job 68   finishes at CPU
1698  Job 116  arrives
1704  Job 31   finishes at Disk 1
1709  Job 69   finishes at CPU
1715  Job 117  arrives
1719  Job 2    finishes at CPU
1730  Job 61   finishes at Disk 2
1733  Job 118  arrives
1735  Job 70   finishes at CPU
1739  Job 63   finishes at Disk 1
1743  Job 119  arrives
1749  Job 34   finishes at CPU
1755  Job 120  arrives
1761  Job 32   finishes at Disk 2
1765  Job 121  arrives
1766  Job 71   finishes at CPU
1772  Job 64   finishes at Disk 1
1778  Job 35   finishes at CPU
1778  Job 35   finishes
1784  Job 122  arrives
1792  Job 72   finishes at CPU
1797  Job 123  arrives
1805  Job 65   finishes at Disk 2
1810  Job 73   finishes at CPU
1814  Job 66   finishes at Disk 1
1816  Job 124  arrives
1823  Job 36   finishes at CPU
1828  Job 125  arrives
1838  Job 15   finishes at Disk 2
1840  Job 74   finishes at CPU
1843  Job 126  arrives
1851  Job 7    finishes at CPU
1856  Job 68   finishes at Disk 1
1856  Job 127  arrives
1866  Job 128  arrives
1869  Job 75   finishes at CPU
1884  Job 69   finishes at Disk 2
1884  Job 129  arrives
1885  Job 76   finishes at CPU
1895  Job 16   finishes at CPU
1895  Job 16   finishes
1896  Job 130  arrives
1903  Job 2    finishes at Disk 1
1909  Job 77   finishes at CPU
1909  Job 77   finishes
1915  Job 131  arrives
1922  Job 37   finishes at CPU
1926  Job 132  arrives
1929  Job 70   finishes at Disk 2
1939  Job 78   finishes at CPU
1943  Job 133  arrives
1950  Job 38   finishes at CPU
1951  Job 34   finishes at Disk 1
1958  Job 134  arrives
1964  Job 79   finishes at CPU
1970  Job 71   finishes at Disk 2
1971  Job 135  arrives
1975  Job 39   finishes at CPU
1984  Job 136  arrives
1990  Job 80   finishes at CPU
1990  Job 80   finishes
1992  Job 72   finishes at Disk 1
2000  Job 73   finishes at Disk 2
2000  Job 137  arrives
2002  Job 17   finishes at CPU
2002  Job 17   finishes
2014  Job 138  arrives
2017  Job 81   finishes at CPU
2031  Job 139  arrives
2033  Job 36   finishes at Disk 1
2034  Job 82   finishes at CPU
2034  Job 82   finishes
2042  Job 74   finishes at Disk 2
2044  Job 140  arrives
2051  Job 1    finishes at CPU
2055  Job 141  arrives
2063  Job 83   finishes at CPU
2066  Job 142  arrives
2073  Job 84   finishes at CPU
2074  Job 7    finishes at Disk 2
2079  Job 143  arrives
2080  Job 75   finishes at Disk 1
2083  Job 40   finishes at CPU
2096  Job 41   finishes at CPU
2097  Job 144  arrives
2108  Job 85   finishes at CPU
2108  Job 145  arrives
2109  Job 78   finishes at Disk 2
2118  Job 146  arrives
2120  Job 76   finishes at Disk 1
2123  Job 86   finishes at CPU
2130  Job 147  arrives
2139  Job 87   finishes at CPU
2147  Job 38   finishes at Disk 2
2149  Job 148  arrives
2157  Job 43   finishes at CPU
2167  Job 37   finishes at Disk 1
2167  Job 149  arrives
2173  Job 44   finishes at CPU
2178  Job 150  arrives
2189  Job 88   finishes at CPU
2190  Job 151  arrives
2195  Job 39   finishes at Disk 2
2207  Job 89   finishes at CPU
2207  Job 89   finishes
2208  Job 152  arrives
2209  Job 79   finishes at Disk 1
2223  Job 4    finishes at CPU
2226  Job 153  arrives
2238  Job 90   finishes at CPU
2238  Job 154  arrives
2241  Job 1    finishes at Disk 2
2247  Job 81   finishes at Disk 1
2253  Job 45   finishes at CPU
2255  Job 155  arrives
2266  Job 156  arrives
2267  Job 91   finishes at CPU
2278  Job 84   finishes at Disk 2
2278  Job 83   finishes at Disk 1
2279  Job 92   finishes at CPU
2281  Job 157  arrives
2298  Job 22   finishes at CPU
2298  Job 158  arrives
2309  Job 41   finishes at Disk 2
2309  Job 159  arrives
2314  Job 46   finishes at CPU
2320  Job 40   finishes at Disk 1
2320  Job 160  arrives
2330  Job 161  arrives
2333  Job 93   finishes at CPU
2342  Job 86   finishes at Disk 2
2345  Job 94   finishes at CPU
2346  Job 162  arrives
2356  Job 48   finishes at CPU
2356  Job 48   finishes
2359  Job 163  arrives
2361  Job 85   finishes at Disk 1
2366  Job 95   finishes at CPU
2375  Job 164  arrives
2380  Job 23   finishes at CPU
2383  Job 87   finishes at Disk 2
2389  Job 165  arrives
2395  Job 43   finishes at Disk 1
2398  Job 96   finishes at CPU
2399  Job 166  arrives
2413  Job 97   finishes at CPU
2413  Job 167  arrives
2425  Job 44   finishes at Disk 1
2428  Job 168  arrives
2429  Job 88   finishes at Disk 2
2432  Job 11   finishes at CPU
2438  Job 169  arrives
2447  Job 49   finishes at CPU
2456  Job 170  arrives
2465  Job 98   finishes at CPU
2468  Job 4    finishes at Disk 1
2470  Job 90   finishes at Disk 2
2475  Job 171  arrives
2483  Job 99   finishes at CPU
2491  Job 172  arrives
2498  Job 91   finishes at Disk 1
2498  Job 52   finishes at CPU
2502  Job 173  arrives
2503  Job 45   finishes at Disk 2
2513  Job 100  finishes at CPU
2516  Job 174  arrives
2531  Job 92   finishes at Disk 1
2532  Job 51   finishes at CPU
2534  Job 175  arrives
2546  Job 101  finishes at CPU
2550  Job 176  arrives
2552  Job 22   finishes at Disk 2
2557  Job 102  finishes at CPU
2557  Job 102  finishes
2564  Job 93   finishes at Disk 1
2567  Job 177  arrives
2575  Job 54   finishes at CPU
2575  Job 54   finishes
2581  Job 178  arrives
2591  Job 46   finishes at Disk 2
2591  Job 53   finishes at CPU
2594  Job 179  arrives
2596  Job 95   finishes at Disk 1
2603  Job 103  finishes at CPU
2603  Job 103  finishes
2609  Job 180  arrives
2614  Job 104  finishes at CPU
2622  Job 181  arrives
2627  Job 12   finishes at CPU
2627  Job 12   finishes
2633  Job 94   finishes at Disk 2
2637  Job 182  arrives
2637  Job 105  finishes at CPU
2642  Job 96   finishes at Disk 1
2655  Job 183  arrives
2656  Job 106  finishes at CPU
2667  Job 184  arrives
2669  Job 28   finishes at CPU
2669  Job 28   finishes
2673  Job 97   finishes at Disk 1
2682  Job 23   finishes at Disk 2
2682  Job 107  finishes at CPU
2682  Job 107  finishes
2686  Job 185  arrives
2692  Job 55   finishes at CPU
2692  Job 55   finishes
2701  Job 186  arrives
2703  Job 108  finishes at CPU
2714  Job 56   finishes at CPU
2719  Job 187  arrives
2720  Job 98   finishes at Disk 1
2723  Job 11   finishes at Disk 2
2729  Job 109  finishes at CPU
2738  Job 188  arrives
2742  Job 110  finishes at CPU
2748  Job 189  arrives
2761  Job 58   finishes at CPU
2762  Job 49   finishes at Disk 2
2762  Job 190  arrives
2764  Job 99   finishes at Disk 1
2775  Job 111  finishes at CPU
2778  Job 191  arrives
2786  Job 57   finishes at CPU
2792  Job 192  arrives
2799  Job 112  finishes at CPU
2802  Job 52   finishes at Disk 2
2805  Job 193  arrives
2809  Job 100  finishes at Disk 1
2813  Job 113  finishes at CPU
2813  Job 113  finishes
2824  Job 194  arrives
2832  Job 60   finishes at CPU
2839  Job 195  arrives
2851  Job 51   finishes at Disk 2
2851  Job 114  finishes at CPU
2852  Job 101  finishes at Disk 1
2854  Job 196  arrives
2866  Job 197  arrives
2868  Job 115  finishes at CPU
2876  Job 198  arrives
2885  Job 59   finishes at CPU
2885  Job 59   finishes
2894  Job 53   finishes at Disk 2
2895  Job 199  arrives
2897  Job 116  finishes at CPU
2899  Job 104  finishes at Disk 1
2910  Job 200  arrives
2915  Job 31   finishes at CPU
2925  Job 201  arrives
2926  Job 105  finishes at Disk 2
2929  Job 106  finishes at Disk 1
2934  Job 117  finishes at CPU
2934  Job 117  finishes
2941  Job 202  arrives
2951  Job 61   finishes at CPU
2953  Job 203  arrives
2961  Job 118  finishes at CPU
2963  Job 204  arrives
2964  Job 56   finishes at Disk 2
2975  Job 108  finishes at Disk 1
2976  Job 205  arrives
2978  Job 63   finishes at CPU
2995  Job 206  arrives
2997  Job 119  finishes at CPU
3006  Job 110  finishes at Disk 2
3010  Job 207  arrives
3016  Job 120  finishes at CPU
3022  Job 109  finishes at Disk 1
3026  Job 208  arrives
3031  Job 32   finishes at CPU
3037  Job 111  finishes at Disk 2
3037  Job 209  arrives
3043  Job 121  finishes at CPU
3043  Job 121  finishes
3051  Job 210  arrives
3059  Job 64   finishes at CPU
3064  Job 58   finishes at Disk 1
3070  Job 211  arrives
3074  Job 122  finishes at CPU
3083  Job 57   finishes at Disk 2
3089  Job 212  arrives
3093  Job 123  finishes at CPU
3096  Job 112  finishes at Disk 1
3100  Job 213  arrives
3104  Job 65   finishes at CPU
3116  Job 66   finishes at CPU
3118  Job 214  arrives
3126  Job 114  finishes at Disk 2
3129  Job 60   finishes at Disk 1
3133  Job 215  arrives
3134  Job 124  finishes at CPU
3149  Job 125  finishes at CPU
3152  Job 216  arrives
3161  Job 115  finishes at Disk 2
3165  Job 116  finishes at Disk 1
3166  Job 217  arrives
3168  Job 15   finishes at CPU
3179  Job 218  arrives
3180  Job 126  finishes at CPU
3191  Job 219  arrives
3193  Job 68   finishes at CPU
3201  Job 61   finishes at Disk 2
3206  Job 220  arrives
3209  Job 31   finishes at Disk 1
3210  Job 127  finishes at CPU
3210  Job 127  finishes
3216  Job 221  arrives
3222  Job 128  finishes at CPU
3235  Job 222  arrives
3235  Job 69   finishes at CPU
3242  Job 118  finishes at Disk 1
3247  Job 63   finishes at Disk 2
3248  Job 129  finishes at CPU
3250  Job 223  arrives
3263  Job 130  finishes at CPU
3266  Job 224  arrives
3280  Job 2    finishes at CPU
3281  Job 119  finishes at Disk 1
3283  Job 225  arrives
3287  Job 120  finishes at Disk 2
3299  Job 131  finishes at CPU
3301  Job 226  arrives
3317  Job 132  finishes at CPU
3318  Job 227  arrives
3324  Job 32   finishes at Disk 1
3332  Job 228  arrives
3335  Job 70   finishes at CPU
3336  Job 64   finishes at Disk 2
3348  Job 229  arrives
3353  Job 133  finishes at CPU
3363  Job 230  arrives
3371  Job 34   finishes at CPU
3372  Job 122  finishes at Disk 1
3376  Job 123  finishes at Disk 2
3378  Job 231  arrives
3388  Job 134  finishes at CPU
3394  Job 232  arrives
3398  Job 71   finishes at CPU
3407  Job 233  arrives
3409  Job 66   finishes at Disk 1
3409  Job 135  finishes at CPU
3422  Job 65   finishes at Disk 2
3423  Job 136  finishes at CPU
3424  Job 234  arrives
3436  Job 72   finishes at CPU
3437  Job 235  arrives
3450  Job 73   finishes at CPU
3450  Job 73   finishes
3452  Job 236  arrives
3453  Job 125  finishes at Disk 1
3457  Job 124  finishes at Disk 2
3467  Job 137  finishes at CPU
3467  Job 137  finishes
3470  Job 237  arrives
3481  Job 138  finishes at CPU
3485  Job 238  arrives
3496  Job 15   finishes at Disk 1
3497  Job 139  finishes at CPU
3497  Job 239  arrives
3501  Job 126  finishes at Disk 2
3512  Job 36   finishes at CPU
3512  Job 240  arrives
3522  Job 74   finishes at CPU
3524  Job 241  arrives
3532  Job 140  finishes at CPU
3532  Job 140  finishes
3535  Job 128  finishes at Disk 1
3542  Job 242  arrives
3547  Job 68   finishes at Disk 2
3547  Job 141  finishes at CPU
3552  Job 243  arrives
3561  Job 142  finishes at CPU
3568  Job 244  arrives
3569  Job 129  finishes at Disk 1
3574  Job 7    finishes at CPU
3574  Job 7    finishes
3584  Job 245  arrives
3584  Job 143  finishes at CPU
3595  Job 69   finishes at Disk 2
3598  Job 246  arrives
3598  Job 75   finishes at CPU
3609  Job 144  finishes at CPU
3610  Job 247  arrives
3613  Job 130  finishes at Disk 1
3620  Job 145  finishes at CPU
3622  Job 248  arrives
3629  Job 2    finishes at Disk 2
3631  Job 78   finishes at CPU
3631  Job 78   finishes
3635  Job 249  arrives
3643  Job 146  finishes at CPU
3647  Job 250  arrives
3651  Job 131  finishes at Disk 1
3654  Job 76   finishes at CPU
3657  Job 251  arrives
3667  Job 147  finishes at CPU
3670  Job 252  arrives
3674  Job 132  finishes at Disk 2
3680  Job 38   finishes at CPU
3683  Job 253  arrives
3694  Job 254  arrives
3695  Job 70   finishes at Disk 1
3698  Job 148  finishes at CPU
3707  Job 255  arrives
3708  Job 133  finishes at Disk 2
3711  Job 37   finishes at CPU
3726  Job 256  arrives
3727  Job 149  finishes at CPU
3733  Job 34   finishes at Disk 1
3740  Job 150  finishes at CPU
3743  Job 257  arrives
3752  Job 134  finishes at Disk 2
3754  Job 258  arrives
3759  Job 151  finishes at CPU
3765  Job 259  arrives
3773  Job 39   finishes at CPU
3773  Job 39   finishes
3780  Job 135  finishes at Disk 1
3782  Job 260  arrives
3790  Job 152  finishes at CPU
3793  Job 71   finishes at Disk 2
3795  Job 261  arrives
3805  Job 262  arrives
3809  Job 79   finishes at CPU
3819  Job 153  finishes at CPU
3822  Job 263  arrives
3825  Job 72   finishes at Disk 1
3826  Job 136  finishes at Disk 2
3834  Job 154  finishes at CPU
3841  Job 264  arrives
3848  Job 1    finishes at CPU
3856  Job 139  finishes at Disk 2
3858  Job 265  arrives
3864  Job 81   finishes at CPU
3871  Job 138  finishes at Disk 1
3874  Job 155  finishes at CPU
3875  Job 266  arrives
3885  Job 156  finishes at CPU
3885  Job 267  arrives
3885  Job 156  finishes
3891  Job 36   finishes at Disk 2
3898  Job 268  arrives
3902  Job 84   finishes at CPU
3913  Job 269  arrives
3914  Job 83   finishes at CPU
3919  Job 74   finishes at Disk 1
3930  Job 157  finishes at CPU
3930  Job 157  finishes
3931  Job 270  arrives
3932  Job 142  finishes at Disk 2
3945  Job 271  arrives
3947  Job 158  finishes at CPU
3958  Job 272  arrives
3959  Job 41   finishes at CPU
3959  Job 41   finishes
3962  Job 141  finishes at Disk 1
3963  Job 75   finishes at Disk 2
3968  Job 273  arrives
3974  Job 159  finishes at CPU
3987  Job 274  arrives
3992  Job 40   finishes at CPU
3998  Job 275  arrives
4004  Job 160  finishes at CPU
4006  Job 143  finishes at Disk 1
4007  Job 144  finishes at Disk 2
4012  Job 276  arrives
4015  Job 161  finishes at CPU
4022  Job 277  arrives
4029  Job 86   finishes at CPU
4037  Job 147  finishes at Disk 2
4039  Job 145  finishes at Disk 1
4039  Job 278  arrives
4046  Job 162  finishes at CPU
4055  Job 279  arrives
4061  Job 163  finishes at CPU
4069  Job 146  finishes at Disk 1
4071  Job 85   finishes at CPU
4071  Job 85   finishes
4073  Job 280  arrives
4083  Job 38   finishes at Disk 2
4084  Job 164  finishes at CPU
4091  Job 281  arrives
4103  Job 87   finishes at CPU
4105  Job 76   finishes at Disk 1
4109  Job 282  arrives
4118  Job 165  finishes at CPU
4123  Job 37   finishes at Disk 2
4124  Job 283  arrives
4130  Job 43   finishes at CPU
4136  Job 148  finishes at Disk 1
4139  Job 284  arrives
4142  Job 166  finishes at CPU
4156  Job 285  arrives
4160  Job 167  finishes at CPU
4160  Job 167  finishes
4167  Job 150  finishes at Disk 1
4170  Job 44   finishes at CPU
4172  Job 149  finishes at Disk 2
4174  Job 286  arrives
4183  Job 168  finishes at CPU
4184  Job 287  arrives
4193  Job 88   finishes at CPU
4194  Job 288  arrives
4205  Job 151  finishes at Disk 2
4207  Job 289  arrives
4208  Job 169  finishes at CPU
4209  Job 152  finishes at Disk 1
4217  Job 290  arrives
4218  Job 170  finishes at CPU
4229  Job 291  arrives
4232  Job 4    finishes at CPU
4237  Job 79   finishes at Disk 2
4244  Job 292  arrives
4246  Job 90   finishes at CPU
4257  Job 153  finishes at Disk 1
4258  Job 293  arrives
4263  Job 171  finishes at CPU
4270  Job 294  arrives
4272  Job 154  finishes at Disk 2
4273  Job 172  finishes at CPU
4289  Job 1    finishes at Disk 1
4289  Job 295  arrives
4291  Job 91   finishes at CPU
4301  Job 296  arrives
4308  Job 173  finishes at CPU
4311  Job 297  arrives
4318  Job 81   finishes at Disk 2
4322  Job 45   finishes at CPU
4323  Job 298  arrives
4327  Job 155  finishes at Disk 1
4337  Job 299  arrives
4339  Job 174  finishes at CPU
4351  Job 300  arrives
4351  Job 92   finishes at CPU
4357  Job 84   finishes at Disk 2
4361  Job 83   finishes at Disk 1
4362  Job 175  finishes at CPU
4363  Job 301  arrives
4377  Job 176  finishes at CPU
4380  Job 302  arrives
4391  Job 159  finishes at Disk 1
4395  Job 22   finishes at CPU
4395  Job 22   finishes
4396  Job 158  finishes at Disk 2
4397  Job 303  arrives
4409  Job 93   finishes at CPU
4414  Job 304  arrives
4420  Job 177  finishes at CPU
4422  Job 160  finishes at Disk 1
4428  Job 305  arrives
4431  Job 40   finishes at Disk 2
4438  Job 306  arrives
4439  Job 178  finishes at CPU
4439  Job 178  finishes
4454  Job 307  arrives
4456  Job 46   finishes at CPU
4468  Job 162  finishes at Disk 1
4468  Job 161  finishes at Disk 2
4469  Job 179  finishes at CPU
4469  Job 179  finishes
4471  Job 308  arrives
4485  Job 95   finishes at CPU
4485  Job 309  arrives
4485  Job 95   finishes
4499  Job 310  arrives
4500  Job 180  finishes at CPU
4500  Job 180  finishes
4504  Job 164  finishes at Disk 1
4505  Job 86   finishes at Disk 2
4510  Job 311  arrives
4510  Job 181  finishes at CPU
4525  Job 94   finishes at CPU
4527  Job 312  arrives
4536  Job 182  finishes at CPU
4538  Job 313  arrives
4539  Job 87   finishes at Disk 1
4545  Job 163  finishes at Disk 2
4549  Job 314  arrives
4554  Job 96   finishes at CPU
4567  Job 315  arrives
4569  Job 183  finishes at CPU
4569  Job 183  finishes
4570  Job 165  finishes at Disk 1
4579  Job 316  arrives
4584  Job 43   finishes at Disk 2
4586  Job 184  finishes at CPU
4589  Job 317  arrives
4601  Job 318  arrives
4605  Job 97   finishes at CPU
4609  Job 166  finishes at Disk 1
4614  Job 44   finishes at Disk 2
4618  Job 23   finishes at CPU
4620  Job 319  arrives
4634  Job 185  finishes at CPU
4636  Job 320  arrives
4642  Job 168  finishes at Disk 1
4646  Job 321  arrives
4652  Job 186  finishes at CPU
4654  Job 88   finishes at Disk 2
4661  Job 322  arrives
4668  Job 187  finishes at CPU
4679  Job 323  arrives
4682  Job 170  finishes at Disk 1
